CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
1335694,10,0.25923,0.00511,0.25912,0.005,0.26,0.005,21.1725,0.16069,40.4255,0.162943,-9.0,0,0,-0.034521,0.031667,0.99679,0.2252,20.9447,0.042554,7.51809e-05,2.94662e-06,0.00110485,-2.3138e-07,-7.28716e-08,42.845,-0.6485,-999,-999,-9.0,-25.6258,250,0.0452041,10.969,1.111,57347.8,0.2004,21,17.3777,0.68797,0.0786,0.0477,-0.0264,0.001,1.0,0.004
03D4cz,4,0.69318,0.00173,0.69316,0.001,0.695,0.001,23.6632,0.316876,42.9162,0.318024,-9.0,0,0,-0.068748,0.084254,-1.76537,0.36781,23.7601,0.0468212,5.62308e-06,2.42489e-07,0.00657405,-5.50191e-08,-3.67144e-09,334.174,-17.9263,-999,-999,-9.0,-2.916,250,0.0245404,10.389,0.245,52894.6,0.413,26,26.4066,0.44094,0.2593,0.0068,-0.0034,0.005,0.708,0.0
2006bt,5,0.03121,0.00086,0.03241,1e-05,0.03208,1e-05,16.4898,0.225151,35.7428,0.226764,-9.0,0,0,0.083887,0.022449,0.22867,0.042043,16.6678,0.035106,0.00386256,0.000124891,-0.000260667,9.6557e-07,-2.21729e-06,239.127,20.046,-999,-999,-9.0,349.34,250,0.0430539,10.8988,0.04,53859.1,0.0614,37,396.488,0.0,0.0489,0.0608,-0.1,0.002,1.0,0.015
2009aa,5,0.02819,0.00088,0.02827,0.00018,0.02705,0.00018,16.0644,0.171301,35.3174,0.173415,-9.0,0,1,-0.080131,0.021855,-0.776049,0.027635,16.0179,0.0281524,0.007028,0.000182231,-0.00014077,6.16517e-07,-2.98171e-06,170.926,-22.2707,-999,-999,-9.0,25.3172,250,0.0292082,9.29935,0.02,54879.0,0.028,72,51.4399,0.96809,0.0513,0.0687,0.0344,0.003,1.0,0.006
2001bf,63,0.01581,0.00086,0.01556,0.00013,0.01587,0.00013,14.6474,0.217323,33.9004,0.218994,-9.0,0,0,-0.018974,0.030349,0.53614,0.082308,14.5214,0.0641116,0.0278892,0.00164683,-0.000351421,2.0025e-05,-3.89778e-05,270.392,26.2506,-999,-999,-9.0,-72.364,250,0.0849594,10.1288,3.809,52046.8,0.2282,19,63.7809,9.62139e-07,0.0614,0.119,-0.0406,0.001,1.0,0.004
17884,1,0.23789,0.00103,0.23776,2e-05,0.23893,2e-05,20.9787,0.170143,40.2317,0.172272,-9.0,0,0,-0.123607,0.036952,0.7009,0.28536,20.6,0.0420054,0.000103278,3.99566e-06,0.00104276,-5.94992e-07,-8.93368e-08,27.5998,1.1721,-9,-9,2.091,-33.0914,250,0.0193314,10.453,0.083,54369.0,0.275,46,30.2306,0.96484,0.1089,0.0104,0.0545,0.003,1.0,0.001
1308314,10,0.40646,0.00514,0.40648,0.005,0.407,0.005,22.4384,0.166642,41.6914,0.168815,-9.0,0,0,-0.056722,0.02876,-0.022674,0.27399,22.3186,0.0344198,2.12111e-05,6.72431e-07,0.00184289,-8.38127e-08,-1.41665e-08,53.4156,-28.9407,-999,-999,0.74,4.7308,250,0.0067592,7.522,0.1385,56977.7,0.3574,60,61.6305,0.4175,0.0795,0.0321,-0.0002,0.002,1.0,0.006
20106,1,0.33147,0.00122,0.33137,0.0005,0.333,0.0005,21.9805,0.284201,41.2335,0.285481,-9.0,0,0,-0.106083,0.069535,-1.04485,0.76361,21.7933,0.083189,3.4409e-05,2.63641e-06,0.0145264,-1.25857e-06,-5.73878e-08,346.554,0.329,-9,-9,0.564,-23.214,250,0.037183,10.277,0.198,54404.1,0.823,36,22.4489,0.96215,0.2312,0.0091,-0.0657,0.008,0.659,0.0
2006ax,5,0.01747,0.00086,0.01774,0.00015,0.01649,0.00015,15.0603,0.195968,34.3133,0.19782,-9.0,0,0,-0.127493,0.021595,0.16897,0.023629,14.7505,0.0344419,0.022585,0.000716445,-0.000158055,2.85077e-06,-1.0893e-05,171.014,-12.2914,-999,-999,-9.0,81.232,250,0.0432401,10.997,0.02,53828.0,0.0232,82,129.041,0.000710816,0.0502,0.1078,0.0569,0.001,1.0,0.003
2007ca,64,0.01442,0.00085,0.01509,1e-05,0.01406,1e-05,14.999,0.396317,34.252,0.397235,-9.0,0,0,0.20709,0.028143,0.54711,0.068245,15.7066,0.0481701,0.00936184,0.000415351,-0.000231063,1.15476e-06,-9.54197e-06,202.774,-15.1018,-999,-999,-9.0,197.318,250,0.0574767,9.44451,4.356,54227.8,0.0777,33,75.4,3.65903e-05,0.0576,0.1289,0.0956,0.016,1.0,0.051
ASASSN-16hz,150,0.02466,0.00087,0.02406,0.00015,0.02531,0.00015,15.5582,0.316446,34.8112,0.317595,-9.0,0,1,0.09128,0.034225,-0.271228,0.12153,15.9978,0.0471584,0.00715947,0.000310968,-0.000462661,5.51552e-06,-8.66567e-06,348.94,-1.3396,-999,-999,-9.0,-175.764,250,0.0311734,9.55271,0.002,57605.3,0.4073,8,8.6616,0.37164,0.0761,0.0775,0.0649,0.003,1.0,0.032
310260,15,0.51885,0.01008,0.51879,0.01,0.52,0.01,22.9294,0.207812,42.1824,0.209558,-9.0,0,0,-0.060652,0.050889,-0.019798,0.54321,22.7142,0.0453579,1.47333e-05,6.155e-07,0.00565312,-1.80268e-07,-9.7423e-09,36.1689,-5.1043,-999,-999,23.1388,-12.9231,250,0.0231623,8.7967,0.1,55828.6,0.756,61,69.7368,0.2073,0.1685,0.0509,-0.0829,0.005,0.642,0.0
2005de,57,0.01519,0.00085,0.01495,6e-05,0.01526,6e-05,14.9263,0.2654,34.1793,0.26677,-9.0,0,0,0.01664,0.025111,-0.493131,0.032844,15.1241,0.0611976,0.0160089,0.000902345,-9.28056e-05,2.78894e-06,-1.87479e-05,270.597,26.0521,-999,-999,-9.0,-72.364,250,0.0875271,7.0,-9.0,53598.8,0.0267,95,159.071,4.20987e-05,0.0443,0.1224,0.0212,0.003,1.0,0.016
000199,15,0.37153,0.00152,0.3716,0.001,0.37,0.001,22.1312,0.11347,41.3842,0.116639,-9.0,0,0,-0.110945,0.024467,0.89801,0.2289,21.7392,0.0286802,3.61669e-05,9.55364e-07,0.000603607,-4.84859e-08,-1.76267e-08,151.231,2.5909,-999,-999,23.5326,15.7583,250,0.0260279,10.475,0.379,55214.5,0.2572,50,42.0117,0.78177,0.0686,0.0103,0.0312,0.002,1.0,0.001
2001az,63,0.04101,0.00087,0.04059,9e-05,0.04069,9e-05,17.0623,0.148357,36.3153,0.150794,-9.0,0,1,-0.081271,0.029423,1.11507,0.40795,16.7018,0.0480562,0.00374357,0.000165696,0.00153605,1.58741e-05,-3.40658e-06,248.615,76.0297,-999,-999,-9.0,-120.833,250,0.043583,10.239,0.059,52031.2,0.8186,14,9.76209,0.77936,0.0731,0.047,0.0029,0.001,1.0,0.003
2007fb,65,0.01733,0.00085,0.0168,1e-05,0.01803,1e-05,15.2571,0.229657,34.5101,0.231239,-9.0,0,0,-0.119162,0.032271,-1.64181,0.20852,15.259,0.051662,0.0141389,0.000672764,2.49124e-05,-1.15617e-05,-1.47965e-05,359.218,5.5088,-999,-999,-9.0,-156.633,250,0.047768,9.6287,3.866,54288.1,0.0116,17,31.7594,0.0161175,0.0824,0.1074,0.0757,0.004,1.0,0.005
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,1.99995e-05,-5.54312e-05,-4.22351e-05,339.247,-25.232,-999,-999,-9.0,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008
2006et,64,0.02183,0.00086,0.0214,0.00015,0.0224,0.00015,15.5053,0.282159,34.7583,0.283448,-9.0,0,0,0.12001,0.028977,0.78862,0.14383,15.7073,0.0344991,0.00935598,0.000297285,-3.28274e-05,-7.64881e-06,-1.17646e-06,10.6909,-23.5584,-999,-999,-9.0,-126.054,250,0.0164841,10.1464,3.211,53994.5,0.2081,22,21.4338,0.49408,0.0955,0.0865,-0.1052,0.002,1.0,0.019
